rank,title,circle,dl,price,genres,img,date
1,放蕩貴族は元王太子妃との孕ませ婚で忙しい,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
2,終・仕事ができない榊くんは夜だけ有能,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
3,惚れ薬で豹変した最強騎士の暴走が止まりません!,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
4,"【1トラック好き好き100回↑↑保証】10,000回『好き』と言わないと出られない部屋～好き好き好き好き…脳みそ壊れるまで好き連呼「変態で…ドスケベなお前が好き…♡」",強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
5,続・仕事ができない榊くんは夜だけ有能,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
6,仕事ができない榊くんは夜だけ有能,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
7,新刊が×××なのは売り子のせいです2,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
8,【こじらせ両想い×ハピエン鬼潮保証】顔だけサイコパスな曽根さんのド純愛真剣婚約説得えっち,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
9,子煩悩で優しい夫、絶倫雄々野獣形態に戻る,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
10,新刊が×××なのは売り子のせいです,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
11,【関西弁雄喘ぎ×女性優位】クールでスマートな箱崎くんの情けない顔見てみたい,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
12,頼れる先輩 笹崎さんに今夜は私が教える番,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
13,優しい先輩の正体は狂愛のヤンデレ男子,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
14,【確定ファンサで完堕ちクリ潮】古参ファンの私が、推しにクリ責めされるなんて…,強肉強食,0,990,,"data:image/gif;base64,R0lGODlhAQABAGAAACH5BAEKAP8ALAAAAAABAAEAAAgEAP8FBAA7",2026.03.03 12:35
